sintomas,enfermedad
Muestra signos de náuseas y dolor de cabeza severo.,Migraña
Muestra signos de vómitos y puntos ciegos.,Migraña
"Muestra signos de hormigueo en la cara, sensibilidad al sonido, visión borrosa y sensibilidad a la luz.",Migraña
"Tiene síntomas como hormigueo en la cara, sensibilidad al sonido y sensibilidad a la luz.",Migraña
"Sufre de sensibilidad al sonido, dolor de cabeza severo, puntos ciegos y sensibilidad a la luz.",Migraña
Experimenta sensibilidad al sonido y vómitos de forma recurrente.,Migraña
Tiene síntomas como visión borrosa y dolor de cabeza severo.,Migraña
"Los síntomas incluyen hormigueo en la cara, mareos y latidos en la cabeza.",Migraña
"sensibilidad a la luz y hormigueo en la cara, y además presenta otros signos.",Migraña
"Se queja de sensibilidad a la luz, puntos ciegos y mareos.",Migraña
"Los síntomas incluyen náuseas, puntos ciegos y dolor de cabeza severo.",Migraña
"El paciente presenta mareos, puntos ciegos, sensibilidad a la luz, hormigueo en la cara y visión borrosa.",Migraña
"Reporta tener mareos, hormigueo en la cara, náuseas y dolor de cabeza severo.",Migraña
"Sufre de dolor de cabeza severo, puntos ciegos, hormigueo en la cara, sensibilidad a la luz y sensibilidad al sonido.",Migraña
"Tiene síntomas como náuseas, puntos ciegos, hormigueo en la cara y visión borrosa.",Migraña
"Sufre de latidos en la cabeza, dolor de cabeza severo, mareos, hormigueo en la cara y náuseas.",Migraña
"Reporta tener náuseas, vómitos, visión borrosa y latidos en la cabeza.",Migraña
El cuadro clínico incluye puntos ciegos y dolor de cabeza severo.,Migraña
"Sufre de náuseas, latidos en la cabeza, hormigueo en la cara y visión borrosa.",Migraña
"El cuadro clínico incluye sensibilidad al sonido, latidos en la cabeza, náuseas, visión borrosa y sensibilidad a la luz.",Migraña
Tiene síntomas como mareos y vómitos.,Migraña
"Reporta tener orina frecuente, zonas de piel oscura, fatiga, visión borrosa y sed excesiva.",Diabetes tipo 2
"Reporta tener fatiga, orina frecuente, pérdida de peso inexplicable, sed excesiva y llagas que no sanan.",Diabetes tipo 2
"Los síntomas incluyen pérdida de peso inexplicable, hormigueo en manos, fatiga, infecciones frecuentes y llagas que no sanan.",Diabetes tipo 2
"El cuadro clínico incluye infecciones frecuentes, pérdida de peso inexplicable y visión borrosa.",Diabetes tipo 2
"Sufre de hambre extremo, infecciones frecuentes, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
"Reporta tener hormigueo en manos, hambre extremo y fatiga.",Diabetes tipo 2
"Reporta tener llagas que no sanan, visión borrosa, fatiga, zonas de piel oscura y orina frecuente.",Diabetes tipo 2
"visión borrosa, hormigueo en manos y orina frecuente, y además presenta otros signos.",Diabetes tipo 2
"Tiene síntomas como pérdida de peso inexplicable, fatiga, hambre extremo y zonas de piel oscura.",Diabetes tipo 2
"Experimenta orina frecuente, zonas de piel oscura y sed excesiva de forma recurrente.",Diabetes tipo 2
"Se queja de orina frecuente, infecciones frecuentes y zonas de piel oscura.",Diabetes tipo 2
"Sufre de visión borrosa, pérdida de peso inexplicable, infecciones frecuentes y hambre extremo.",Diabetes tipo 2
Tiene síntomas como infecciones frecuentes y fatiga.,Diabetes tipo 2
Muestra signos de pérdida de peso inexplicable y sed excesiva.,Diabetes tipo 2
"Reporta tener llagas que no sanan, visión borrosa, orina frecuente, pérdida de peso inexplicable y sed excesiva.",Diabetes tipo 2
"Muestra signos de llagas que no sanan, hormigueo en manos, zonas de piel oscura y sed excesiva.",Diabetes tipo 2
"Muestra signos de llagas que no sanan, zonas de piel oscura, orina frecuente y visión borrosa.",Diabetes tipo 2
"Tiene síntomas como llagas que no sanan, infecciones frecuentes y zonas de piel oscura.",Diabetes tipo 2
"Experimenta hormigueo en manos, fatiga y sed excesiva de forma recurrente.",Diabetes tipo 2
"Muestra signos de hormigueo en manos, infecciones frecuentes, zonas de piel oscura, hambre extremo y pérdida de peso inexplicable.",Diabetes tipo 2
"Los síntomas incluyen orina frecuente, hormigueo en manos, sed excesiva, visión borrosa y pérdida de peso inexplicable.",Diabetes tipo 2
"Los síntomas incluyen fatiga, llagas que no sanan, zonas de piel oscura, sed excesiva y infecciones frecuentes.",Diabetes tipo 2
"Sufre de hambre extremo, pérdida de peso inexplicable, visión borrosa, fatiga y infecciones frecuentes.",Diabetes tipo 2
Muestra signos de orina frecuente y hambre extremo.,Diabetes tipo 2
"Sufre de pérdida de peso inexplicable, zonas de piel oscura, orina frecuente, hormigueo en manos y visión borrosa.",Diabetes tipo 2
El paciente presenta infecciones frecuentes y visión borrosa.,Diabetes tipo 2
"Reporta tener orina frecuente, pérdida de peso inexplicable, fatiga, infecciones frecuentes y visión borrosa.",Diabetes tipo 2
"Sufre de fatiga, hambre extremo, hormigueo en manos y pérdida de peso inexplicable.",Diabetes tipo 2
"Los síntomas incluyen hambre extremo, sed excesiva, zonas de piel oscura, orina frecuente y visión borrosa.",Diabetes tipo 2
"Los síntomas incluyen fatiga, visión borrosa y hormigueo en manos.",Diabetes tipo 2
"Reporta tener infecciones frecuentes, hormigueo en manos, visión borrosa y fatiga.",Diabetes tipo 2
"Se queja de visión borrosa, fatiga, sed excesiva y pérdida de peso inexplicable.",Diabetes tipo 2
"Tiene síntomas como orina frecuente, llagas que no sanan, hormigueo en manos y visión borrosa.",Diabetes tipo 2
"Muestra signos de hambre extremo, infecciones frecuentes, llagas que no sanan, sed excesiva y zonas de piel oscura.",Diabetes tipo 2
"Reporta tener zonas de piel oscura, sed excesiva, llagas que no sanan y infecciones frecuentes.",Diabetes tipo 2
El paciente presenta infecciones frecuentes y hormigueo en manos.,Diabetes tipo 2
"El paciente presenta sed excesiva, fatiga y hambre extremo.",Diabetes tipo 2
"orina frecuente y infecciones frecuentes, y además presenta otros signos.",Diabetes tipo 2
"El paciente presenta infecciones frecuentes, llagas que no sanan, fatiga y hormigueo en manos.",Diabetes tipo 2
"visión borrosa, sed excesiva, hambre extremo y infecciones frecuentes, y además presenta otros signos.",Diabetes tipo 2
El cuadro clínico incluye llagas que no sanan y visión borrosa.,Diabetes tipo 2
"Sufre de infecciones frecuentes, visión borrosa, orina frecuente, hormigueo en manos y hambre extremo.",Diabetes tipo 2
"Tiene síntomas como llagas que no sanan, visión borrosa y pérdida de peso inexplicable.",Diabetes tipo 2
"Sufre de llagas que no sanan, infecciones frecuentes, fatiga y pérdida de peso inexplicable.",Diabetes tipo 2
"Sufre de pérdida de peso inexplicable, visión borrosa, fatiga, zonas de piel oscura y infecciones frecuentes.",Diabetes tipo 2
"Sufre de infecciones frecuentes, hambre extremo, pérdida de peso inexplicable, visión borrosa y fatiga.",Diabetes tipo 2
Tiene síntomas como pérdida de peso inexplicable y llagas que no sanan.,Diabetes tipo 2
"Sufre de hambre extremo, fatiga y infecciones frecuentes.",Diabetes tipo 2
Experimenta sed excesiva y pérdida de peso inexplicable de forma recurrente.,Diabetes tipo 2
Tiene síntomas como hambre extremo y zonas de piel oscura.,Diabetes tipo 2
"Reporta tener fatiga, infecciones frecuentes, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
Se queja de hormigueo en manos y sed excesiva.,Diabetes tipo 2
"Reporta tener hambre extremo, infecciones frecuentes, visión borrosa, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
"El cuadro clínico incluye hormigueo en manos, hambre extremo y llagas que no sanan.",Diabetes tipo 2
"Tiene síntomas como sed excesiva, hambre extremo y zonas de piel oscura.",Diabetes tipo 2
"Los síntomas incluyen infecciones frecuentes, hambre extremo, hormigueo en manos, zonas de piel oscura y visión borrosa.",Diabetes tipo 2
Muestra signos de pérdida de peso inexplicable y infecciones frecuentes.,Diabetes tipo 2
"Reporta tener hormigueo en manos, infecciones frecuentes, visión borrosa y llagas que no sanan.",Diabetes tipo 2
"Tiene síntomas como fatiga, pérdida de peso inexplicable, sed excesiva y orina frecuente.",Diabetes tipo 2
"Experimenta visión borrosa, hormigueo en manos, zonas de piel oscura, sed excesiva y pérdida de peso inexplicable de forma recurrente.",Diabetes tipo 2
"hambre extremo, hormigueo en manos y visión borrosa, y además presenta otros signos.",Diabetes tipo 2
Experimenta hormigueo en manos y pérdida de peso inexplicable de forma recurrente.,Diabetes tipo 2
"Se queja de infecciones frecuentes, visión borrosa, hambre extremo y hormigueo en manos.",Diabetes tipo 2
Experimenta pérdida de peso inexplicable y llagas que no sanan de forma recurrente.,Diabetes tipo 2
"El cuadro clínico incluye pérdida de peso inexplicable, orina frecuente y hambre extremo.",Diabetes tipo 2
"Sufre de sed excesiva, infecciones frecuentes, orina frecuente y llagas que no sanan.",Diabetes tipo 2
"pérdida de peso inexplicable, hambre extremo y llagas que no sanan, y además presenta otros signos.",Diabetes tipo 2
"Reporta tener hormigueo en manos, visión borrosa, hambre extremo y infecciones frecuentes.",Diabetes tipo 2
Reporta tener infecciones frecuentes y orina frecuente.,Diabetes tipo 2
Muestra signos de orina frecuente y llagas que no sanan.,Diabetes tipo 2
"Se queja de hambre extremo, llagas que no sanan y orina frecuente.",Diabetes tipo 2
"Muestra signos de fatiga, infecciones frecuentes y pérdida de peso inexplicable.",Diabetes tipo 2
"Sufre de hormigueo en manos, infecciones frecuentes y sed excesiva.",Diabetes tipo 2
Sufre de pérdida de peso inexplicable y zonas de piel oscura.,Diabetes tipo 2
"Se queja de infecciones frecuentes, orina frecuente, pérdida de peso inexplicable y visión borrosa.",Diabetes tipo 2
"El cuadro clínico incluye infecciones frecuentes, hormigueo en manos y orina frecuente.",Diabetes tipo 2
Se queja de hormigueo en manos y sed excesiva.,Diabetes tipo 2
"Reporta tener sed excesiva, infecciones frecuentes, zonas de piel oscura y fatiga.",Diabetes tipo 2
"Experimenta hormigueo en manos, hambre extremo, visión borrosa, llagas que no sanan y fatiga de forma recurrente.",Diabetes tipo 2
"Muestra signos de orina frecuente, infecciones frecuentes, zonas de piel oscura, llagas que no sanan y fatiga.",Diabetes tipo 2
El paciente presenta fatiga y llagas que no sanan.,Diabetes tipo 2
"El paciente presenta llagas que no sanan, zonas de piel oscura, infecciones frecuentes y sed excesiva.",Diabetes tipo 2
"Se queja de fatiga, visión borrosa y hormigueo en manos.",Diabetes tipo 2
"llagas que no sanan, visión borrosa, hormigueo en manos y orina frecuente, y además presenta otros signos.",Diabetes tipo 2
"Reporta tener sed excesiva, hormigueo en manos y zonas de piel oscura.",Diabetes tipo 2
"Tiene síntomas como infecciones frecuentes, hambre extremo, zonas de piel oscura y hormigueo en manos.",Diabetes tipo 2
Tiene síntomas como zonas de piel oscura y visión borrosa.,Diabetes tipo 2
"Experimenta pérdida de peso inexplicable, orina frecuente, sed excesiva y visión borrosa de forma recurrente.",Diabetes tipo 2
"Sufre de sed excesiva, llagas que no sanan, orina frecuente, infecciones frecuentes y hambre extremo.",Diabetes tipo 2
"Sufre de visión borrosa, llagas que no sanan y fatiga.",Diabetes tipo 2
Reporta tener llagas que no sanan y fatiga.,Diabetes tipo 2
"Se queja de hambre extremo, hormigueo en manos y zonas de piel oscura.",Diabetes tipo 2
Reporta tener sed excesiva y fatiga.,Diabetes tipo 2
"Los síntomas incluyen visión borrosa, hormigueo en manos, fatiga, infecciones frecuentes y zonas de piel oscura.",Diabetes tipo 2
"Experimenta pérdida de peso inexplicable, zonas de piel oscura y fatiga de forma recurrente.",Diabetes tipo 2
"El cuadro clínico incluye sed excesiva, hormigueo en manos, zonas de piel oscura, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
El paciente presenta orina frecuente y infecciones frecuentes.,Diabetes tipo 2
Tiene síntomas como fatiga y sed excesiva.,Diabetes tipo 2
"Se queja de hambre extremo, infecciones frecuentes, fatiga y zonas de piel oscura.",Diabetes tipo 2
"hormigueo en manos y sed excesiva, y además presenta otros signos.",Diabetes tipo 2
"Tiene síntomas como hormigueo en manos, infecciones frecuentes y visión borrosa.",Diabetes tipo 2
"Experimenta hormigueo en manos, zonas de piel oscura, pérdida de peso inexplicable, infecciones frecuentes y sed excesiva de forma recurrente.",Diabetes tipo 2
"Los síntomas incluyen llagas que no sanan, sed excesiva, visión borrosa y hambre extremo.",Diabetes tipo 2
Tiene síntomas como pérdida de peso inexplicable y llagas que no sanan.,Diabetes tipo 2
"orina frecuente y visión borrosa, y además presenta otros signos.",Diabetes tipo 2
"Experimenta visión borrosa, pérdida de peso inexplicable y llagas que no sanan de forma recurrente.",Diabetes tipo 2
"El paciente presenta llagas que no sanan, zonas de piel oscura, infecciones frecuentes y pérdida de peso inexplicable.",Diabetes tipo 2
"Muestra signos de hambre extremo, hormigueo en manos, pérdida de peso inexplicable, llagas que no sanan y sed excesiva.",Diabetes tipo 2
"Los síntomas incluyen zonas de piel oscura, llagas que no sanan y orina frecuente.",Diabetes tipo 2
"pérdida de peso inexplicable, visión borrosa, sed excesiva, llagas que no sanan y infecciones frecuentes, y además presenta otros signos.",Diabetes tipo 2
"Los síntomas incluyen sed excesiva, visión borrosa y zonas de piel oscura.",Diabetes tipo 2
"Muestra signos de llagas que no sanan, visión borrosa, sed excesiva y hormigueo en manos.",Diabetes tipo 2
"Experimenta orina frecuente, llagas que no sanan y infecciones frecuentes de forma recurrente.",Diabetes tipo 2
Reporta tener visión borrosa y orina frecuente.,Diabetes tipo 2
"Tiene síntomas como hormigueo en manos, orina frecuente, llagas que no sanan, fatiga y sed excesiva.",Diabetes tipo 2
Los síntomas incluyen pérdida de peso inexplicable y sed excesiva.,Diabetes tipo 2
"Reporta tener infecciones frecuentes, sed excesiva y orina frecuente.",Diabetes tipo 2
"Sufre de pérdida de peso inexplicable, hambre extremo y visión borrosa.",Diabetes tipo 2
"Se queja de pérdida de peso inexplicable, visión borrosa, zonas de piel oscura, orina frecuente y hormigueo en manos.",Diabetes tipo 2
"Tiene síntomas como visión borrosa, zonas de piel oscura, orina frecuente, sed excesiva y fatiga.",Diabetes tipo 2
"Se queja de fatiga, hambre extremo y hormigueo en manos.",Diabetes tipo 2
"Muestra signos de infecciones frecuentes, zonas de piel oscura y orina frecuente.",Diabetes tipo 2
"Sufre de visión borrosa, pérdida de peso inexplicable y hambre extremo.",Diabetes tipo 2
Experimenta zonas de piel oscura y hormigueo en manos de forma recurrente.,Diabetes tipo 2
"visión borrosa, fatiga, sed excesiva, zonas de piel oscura y infecciones frecuentes, y además presenta otros signos.",Diabetes tipo 2
"Tiene síntomas como pérdida de peso inexplicable, zonas de piel oscura, infecciones frecuentes, hambre extremo y llagas que no sanan.",Diabetes tipo 2
"Los síntomas incluyen llagas que no sanan, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
"Tiene síntomas como visión borrosa, llagas que no sanan, sed excesiva y zonas de piel oscura.",Diabetes tipo 2
"pérdida de peso inexplicable, hormigueo en manos y orina frecuente, y además presenta otros signos.",Diabetes tipo 2
"Experimenta llagas que no sanan, visión borrosa y hormigueo en manos de forma recurrente.",Diabetes tipo 2
"Tiene síntomas como hormigueo en manos, infecciones frecuentes, fatiga y zonas de piel oscura.",Diabetes tipo 2
"Muestra signos de sed excesiva, hormigueo en manos, zonas de piel oscura y llagas que no sanan.",Diabetes tipo 2
"Sufre de visión borrosa, hormigueo en manos y orina frecuente.",Diabetes tipo 2
Experimenta sed excesiva y hormigueo en manos de forma recurrente.,Diabetes tipo 2
Experimenta hormigueo en manos y hambre extremo de forma recurrente.,Diabetes tipo 2
"sed excesiva y llagas que no sanan, y además presenta otros signos.",Diabetes tipo 2
"Tiene síntomas como visión borrosa, llagas que no sanan, pérdida de peso inexplicable, zonas de piel oscura y hambre extremo.",Diabetes tipo 2
"Experimenta hambre extremo, orina frecuente y visión borrosa de forma recurrente.",Diabetes tipo 2
"Tiene síntomas como zonas de piel oscura, fatiga, hambre extremo, hormigueo en manos y llagas que no sanan.",Diabetes tipo 2
"infecciones frecuentes, visión borrosa y sed excesiva, y además presenta otros signos.",Diabetes tipo 2
"El paciente presenta zonas de piel oscura, llagas que no sanan, fatiga y hormigueo en manos.",Diabetes tipo 2
"Se queja de zonas de piel oscura, pérdida de peso inexplicable, fatiga, hormigueo en manos y sed excesiva.",Diabetes tipo 2
"Muestra signos de llagas que no sanan, zonas de piel oscura, pérdida de peso inexplicable y visión borrosa.",Diabetes tipo 2
"Muestra signos de orina frecuente, fatiga, llagas que no sanan, hormigueo en manos y hambre extremo.",Diabetes tipo 2
"Experimenta sed excesiva, orina frecuente, hormigueo en manos, hambre extremo y zonas de piel oscura de forma recurrente.",Diabetes tipo 2
"Experimenta visión borrosa, hormigueo en manos, zonas de piel oscura y fatiga de forma recurrente.",Diabetes tipo 2
"Tiene síntomas como infecciones frecuentes, sed excesiva y visión borrosa.",Diabetes tipo 2
"Se queja de infecciones frecuentes, sed excesiva, llagas que no sanan y pérdida de peso inexplicable.",Diabetes tipo 2
"Muestra signos de infecciones frecuentes, fatiga, zonas de piel oscura, hormigueo en manos y hambre extremo.",Diabetes tipo 2
Muestra signos de llagas que no sanan y pérdida de peso inexplicable.,Diabetes tipo 2
"Muestra signos de hormigueo en manos, visión borrosa y infecciones frecuentes.",Diabetes tipo 2
"Sufre de fatiga, zonas de piel oscura, visión borrosa, llagas que no sanan y infecciones frecuentes.",Diabetes tipo 2
"El paciente presenta pérdida de peso inexplicable, hambre extremo y fatiga.",Diabetes tipo 2
"Muestra signos de pérdida de peso inexplicable, hormigueo en manos, orina frecuente y zonas de piel oscura.",Diabetes tipo 2
"El cuadro clínico incluye sed excesiva, pérdida de peso inexplicable y fatiga.",Diabetes tipo 2
"El cuadro clínico incluye llagas que no sanan, visión borrosa y pérdida de peso inexplicable.",Diabetes tipo 2
"El cuadro clínico incluye llagas que no sanan, orina frecuente, zonas de piel oscura, visión borrosa y hambre extremo.",Diabetes tipo 2
"Los síntomas incluyen visión borrosa, infecciones frecuentes, orina frecuente, sed excesiva y hambre extremo.",Diabetes tipo 2
"Experimenta pérdida de peso inexplicable, llagas que no sanan, sed excesiva y visión borrosa de forma recurrente.",Diabetes tipo 2
"Muestra signos de infecciones frecuentes, fatiga, orina frecuente y llagas que no sanan.",Diabetes tipo 2
"Se queja de infecciones frecuentes, pérdida de peso inexplicable y visión borrosa.",Diabetes tipo 2
Se queja de pérdida de peso inexplicable y zonas de piel oscura.,Diabetes tipo 2
"Reporta tener sed excesiva, orina frecuente, visión borrosa, hormigueo en manos y llagas que no sanan.",Diabetes tipo 2
Reporta tener infecciones frecuentes y orina frecuente.,Diabetes tipo 2
"El cuadro clínico incluye infecciones frecuentes, sed excesiva, pérdida de peso inexplicable, visión borrosa y hambre extremo.",Diabetes tipo 2
Los síntomas incluyen llagas que no sanan y visión borrosa.,Diabetes tipo 2
"El cuadro clínico incluye infecciones frecuentes, orina frecuente y hormigueo en manos.",Diabetes tipo 2
"Experimenta hormigueo en manos, visión borrosa, zonas de piel oscura y infecciones frecuentes de forma recurrente.",Diabetes tipo 2
"Sufre de orina frecuente, hambre extremo y zonas de piel oscura.",Diabetes tipo 2
"pérdida de peso inexplicable, hormigueo en manos y visión borrosa, y además presenta otros signos.",Diabetes tipo 2
"El cuadro clínico incluye infecciones frecuentes, fatiga, zonas de piel oscura y hormigueo en manos.",Diabetes tipo 2
"Sufre de llagas que no sanan, visión borrosa y fatiga.",Diabetes tipo 2
"Sufre de zonas de piel oscura, sed excesiva, pérdida de peso inexplicable, visión borrosa y hambre extremo.",Diabetes tipo 2
"El cuadro clínico incluye zonas de piel oscura, hambre extremo, fatiga, pérdida de peso inexplicable y llagas que no sanan.",Diabetes tipo 2
"Muestra signos de llagas que no sanan, hormigueo en manos, zonas de piel oscura, visión borrosa y orina frecuente.",Diabetes tipo 2
"Sufre de llagas que no sanan, orina frecuente y hormigueo en manos.",Diabetes tipo 2
Experimenta hambre extremo y infecciones frecuentes de forma recurrente.,Diabetes tipo 2
"Sufre de fatiga, llagas que no sanan, orina frecuente, visión borrosa y zonas de piel oscura.",Diabetes tipo 2
"Experimenta orina frecuente, pérdida de peso inexplicable, fatiga y hormigueo en manos de forma recurrente.",Diabetes tipo 2
Se queja de orina frecuente y fatiga.,Diabetes tipo 2
"Se queja de zonas de piel oscura, infecciones frecuentes y llagas que no sanan.",Diabetes tipo 2
El paciente presenta zonas de piel oscura y llagas que no sanan.,Diabetes tipo 2
"Sufre de orina frecuente, infecciones frecuentes, pérdida de peso inexplicable y zonas de piel oscura.",Diabetes tipo 2
"Reporta tener hambre extremo, sed excesiva y visión borrosa.",Diabetes tipo 2
"Muestra signos de hambre extremo, pérdida de peso inexplicable, hormigueo en manos y fatiga.",Diabetes tipo 2
Sufre de fatiga y hormigueo en manos.,Diabetes tipo 2
Reporta tener fatiga y visión borrosa.,Diabetes tipo 2
"Se queja de llagas que no sanan, infecciones frecuentes, fatiga y hormigueo en manos.",Diabetes tipo 2
Se queja de zonas de piel oscura y llagas que no sanan.,Diabetes tipo 2
"Reporta tener zonas de piel oscura, pérdida de peso inexplicable y orina frecuente.",Diabetes tipo 2
El paciente presenta zonas de piel oscura y infecciones frecuentes.,Diabetes tipo 2
"Experimenta fatiga, infecciones frecuentes, hambre extremo y orina frecuente de forma recurrente.",Diabetes tipo 2
"Tiene síntomas como zonas de piel oscura, fatiga, llagas que no sanan y hambre extremo.",Diabetes tipo 2
"Experimenta fatiga, pérdida de peso inexplicable, sed excesiva, zonas de piel oscura y orina frecuente de forma recurrente.",Diabetes tipo 2
Se queja de infecciones frecuentes y pérdida de peso inexplicable.,Diabetes tipo 2
"Sufre de orina frecuente, fatiga, visión borrosa y infecciones frecuentes.",Diabetes tipo 2
"Muestra signos de hambre extremo, visión borrosa, pérdida de peso inexplicable y sed excesiva.",Diabetes tipo 2
"El paciente presenta hambre extremo, pérdida de peso inexplicable y hormigueo en manos.",Diabetes tipo 2
"Reporta tener infecciones frecuentes, sed excesiva, hambre extremo, visión borrosa y llagas que no sanan.",Diabetes tipo 2
"Se queja de hormigueo en manos, fatiga, visión borrosa, hambre extremo y orina frecuente.",Diabetes tipo 2
El cuadro clínico incluye aumento de peso y memoria deficiente.,Hipotiroidismo
"Tiene síntomas como piel seca, depresión, colesterol alto y dolor en las articulaciones.",Hipotiroidismo
"Sufre de debilidad muscular, piel seca y depresión.",Hipotiroidismo
"El cuadro clínico incluye dolor en las articulaciones, aumento de peso, piel seca, frío constante y debilidad muscular.",Hipotiroidismo
"Muestra signos de debilidad muscular, memoria deficiente, cabello fino, depresión y fatiga.",Hipotiroidismo
"Tiene síntomas como fatiga, colesterol alto y piel seca.",Hipotiroidismo
"El cuadro clínico incluye piel seca, colesterol alto, aumento de peso y cabello fino.",Hipotiroidismo
El cuadro clínico incluye fatiga y dolor en las articulaciones.,Hipotiroidismo
"cabello fino, estreñimiento, piel seca, debilidad muscular y aumento de peso, y además presenta otros signos.",Hipotiroidismo
Tiene síntomas como dolor en las articulaciones y piel seca.,Hipotiroidismo
"El cuadro clínico incluye fatiga, dolor en las articulaciones, colesterol alto y depresión.",Hipotiroidismo
"colesterol alto y depresión, y además presenta otros signos.",Hipotiroidismo
El paciente presenta cabello fino y colesterol alto.,Hipotiroidismo
"Los síntomas incluyen cabello fino, frío constante, colesterol alto y piel seca.",Hipotiroidismo
Muestra signos de colesterol alto y memoria deficiente.,Hipotiroidismo
Muestra signos de memoria deficiente y depresión.,Hipotiroidismo
"dolor en las articulaciones, cabello fino y piel seca, y además presenta otros signos.",Hipotiroidismo
"Sufre de frío constante, debilidad muscular y memoria deficiente.",Hipotiroidismo
"El cuadro clínico incluye frío constante, cabello fino, depresión y memoria deficiente.",Hipotiroidismo
"Tiene síntomas como colesterol alto, estreñimiento, fatiga y aumento de peso.",Hipotiroidismo
Se queja de debilidad muscular y piel seca.,Hipotiroidismo
"Se queja de cabello fino, depresión, debilidad muscular, memoria deficiente y fatiga.",Hipotiroidismo
"colesterol alto, cabello fino, memoria deficiente y frío constante, y además presenta otros signos.",Hipotiroidismo
Los síntomas incluyen dolor en las articulaciones y fatiga.,Hipotiroidismo
"cabello fino y piel seca, y además presenta otros signos.",Hipotiroidismo
"Tiene síntomas como colesterol alto, debilidad muscular y estreñimiento.",Hipotiroidismo
"Sufre de frío constante, fatiga, dolor en las articulaciones y piel seca.",Hipotiroidismo
"dolor en las articulaciones, cabello fino, colesterol alto y estreñimiento, y además presenta otros signos.",Hipotiroidismo
Reporta tener debilidad muscular y piel seca.,Hipotiroidismo
"Reporta tener colesterol alto, frío constante y aumento de peso.",Hipotiroidismo
"Los síntomas incluyen cabello fino, colesterol alto, frío constante, dolor en las articulaciones y aumento de peso.",Hipotiroidismo
Muestra signos de piel seca y estreñimiento.,Hipotiroidismo
"Reporta tener frío constante, cabello fino, dolor en las articulaciones y debilidad muscular.",Hipotiroidismo
"Reporta tener aumento de peso, cabello fino y dolor en las articulaciones.",Hipotiroidismo
"Los síntomas incluyen depresión, memoria deficiente, estreñimiento, dolor en las articulaciones y aumento de peso.",Hipotiroidismo
"Experimenta memoria deficiente, dolor en las articulaciones y piel seca de forma recurrente.",Hipotiroidismo
"Reporta tener memoria deficiente, fatiga y cabello fino.",Hipotiroidismo
Sufre de dolor en las articulaciones y memoria deficiente.,Hipotiroidismo
"Se queja de estreñimiento, colesterol alto, dolor en las articulaciones y piel seca.",Hipotiroidismo
Reporta tener memoria deficiente y fatiga.,Hipotiroidismo
"Los síntomas incluyen memoria deficiente, piel seca y estreñimiento.",Hipotiroidismo
"El cuadro clínico incluye memoria deficiente, fatiga y frío constante.",Hipotiroidismo
"Tiene síntomas como piel seca, frío constante, dolor en las articulaciones y aumento de peso.",Hipotiroidismo
"Muestra signos de memoria deficiente, frío constante, dolor en las articulaciones y cabello fino.",Hipotiroidismo
"debilidad muscular, depresión, colesterol alto y estreñimiento, y además presenta otros signos.",Hipotiroidismo
Se queja de cabello fino y frío constante.,Hipotiroidismo
Experimenta estreñimiento y colesterol alto de forma recurrente.,Hipotiroidismo
Los síntomas incluyen dolor en las articulaciones y cabello fino.,Hipotiroidismo
"Reporta tener memoria deficiente, aumento de peso, dolor en las articulaciones y piel seca.",Hipotiroidismo
"Reporta tener memoria deficiente, frío constante, depresión y estreñimiento.",Hipotiroidismo
"El cuadro clínico incluye aumento de peso, fatiga, debilidad muscular, colesterol alto y dolor en las articulaciones.",Hipotiroidismo
"cabello fino, fatiga, depresión y frío constante, y además presenta otros signos.",Hipotiroidismo
"Experimenta depresión, memoria deficiente, fatiga, piel seca y colesterol alto de forma recurrente.",Hipotiroidismo
"El cuadro clínico incluye frío constante, estreñimiento y debilidad muscular.",Hipotiroidismo
"El cuadro clínico incluye estreñimiento, memoria deficiente, frío constante y cabello fino.",Hipotiroidismo
"colesterol alto, memoria deficiente, cabello fino, estreñimiento y frío constante, y además presenta otros signos.",Hipotiroidismo
"Sufre de piel seca, colesterol alto y debilidad muscular.",Hipotiroidismo
"Reporta tener frío constante, memoria deficiente, debilidad muscular y depresión.",Hipotiroidismo
Muestra signos de memoria deficiente y frío constante.,Hipotiroidismo
"Reporta tener fatiga, depresión y dolor en las articulaciones.",Hipotiroidismo
"Experimenta estreñimiento, dolor en las articulaciones, memoria deficiente y colesterol alto de forma recurrente.",Hipotiroidismo
"Sufre de colesterol alto, memoria deficiente, frío constante, debilidad muscular y cabello fino.",Hipotiroidismo
"Se queja de dolor en las articulaciones, frío constante, depresión, estreñimiento y debilidad muscular.",Hipotiroidismo
Los síntomas incluyen estreñimiento y cabello fino.,Hipotiroidismo
"Tiene síntomas como fatiga, debilidad muscular, dolor en las articulaciones y aumento de peso.",Hipotiroidismo
"frío constante, estreñimiento y debilidad muscular, y además presenta otros signos.",Hipotiroidismo
"Experimenta aumento de peso, debilidad muscular y depresión de forma recurrente.",Hipotiroidismo
"El paciente presenta debilidad muscular, fatiga, frío constante y colesterol alto.",Hipotiroidismo
"colesterol alto, depresión, memoria deficiente y frío constante, y además presenta otros signos.",Hipotiroidismo
